time,best_bid,best_ask,0.0001,0.001,0.01,uni_px_0.0001,uni_px_0.001,uni_px_0.01,edge_binance→uni,edge_uni→binance
2025-07-29 15:05:40,3854.75,3854.76,,,,,,,,
2025-07-29 15:05:40,3854.89,3854.9,,,,,,,,
2025-07-29 15:05:41,3854.96,3854.97,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.13000000000011,19.120000000000346
2025-07-29 15:05:42,3855.08,3855.09,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.250000000000455,19.240000000000236
2025-07-29 15:05:43,3855.08,3855.09,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.250000000000455,19.240000000000236
2025-07-29 15:05:44,3855.08,3855.09,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.250000000000455,19.240000000000236
2025-07-29 15:05:45,3855.17,3855.18,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.340000000000146,19.330000000000382
2025-07-29 15:05:46,3855.18,3855.19,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.350000000000364,19.340000000000146
2025-07-29 15:05:47,3855.18,3855.19,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-19.350000000000364,19.340000000000146
2025-07-29 15:05:48,3854.34,3854.35,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-18.51000000000022,18.500000000000455
2025-07-29 15:05:49,3854.2,3854.21,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-18.370000000000346,18.360000000000127
2025-07-29 15:05:50,3854.12,3854.13,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-18.29000000000042,18.2800000000002
2025-07-29 15:05:51,3854.0,3854.01,,,,,,,,
2025-07-29 15:05:52,3853.8,3853.81,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-17.970000000000255,17.96000000000049
2025-07-29 15:05:53,3853.78,3853.79,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-17.950000000000273,17.94000000000051
2025-07-29 15:05:54,3853.2,3853.21,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-17.370000000000346,17.360000000000127
2025-07-29 15:05:55,3852.3,3852.31,,,,,,,,
2025-07-29 15:05:56,3852.48,3852.49,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-16.65000000000009,16.640000000000327
2025-07-29 15:05:57,3852.48,3852.49,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-16.65000000000009,16.640000000000327
2025-07-29 15:05:58,3852.48,3852.49,0.383584,3.834008,38.157222,3835.8399999999997,3834.008,3815.7221999999997,-16.65000000000009,16.640000000000327
